year,country,Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
1994,GEO,47.7645056342522,34.284,1.51005863055443,51.1258944463069,62.368,49.6158358157524,48.8741055536931,31.6585873856143,7573.70880300659,11.6647567866598,40.5707375790879,34.474,46.047,40.133,62.151,79.452,70.189,76.7705745242181,78.082,68.088,2462371.0,13.725,,14.573,,,,8.837,,8.4
1994,GHA,60.3423738767079,52.064,1.77500620120001,83.7539293258755,72.076,81.9789231246755,16.2460706741245,2.35048638434089,7469.13882877912,11.2665401479731,28.3911006788164,58.883,55.831,57.347,76.403,78.251,77.312,96.458792758603,77.996,76.592,7227257.0,7.911,,9.212,,,,5.08,,5.896
1994,GIN,73.6547000528699,41.391,2.28322355214044,93.7897368829032,60.843,91.5065133307627,6.21026311709685,36.8573825036472,6233.47900724029,5.27848116361439,21.0667790317259,50.132,37.724,43.872,65.976,65.411,65.701,98.0889344644355,64.362,63.727,2634860.0,6.894,,5.656,,,,5.609,,4.526
1994,GMB,45.453778410589,26.829,1.13870871345954,77.2662553393451,43.141,76.1275466258855,22.733744660655,18.520979451212,10821.146994156,13.8937228638225,40.6524987255884,28.054,34.994,31.485,46.419,52.642,49.452,87.6859988283538,51.21,47.989,316408.0,11.698,,14.788,,,,7.533,,10.102
1994,GNB,62.5600474182641,55.9,0.500047148842159,77.7969366723694,62.261,77.2968895235273,22.2030633276306,35.2829604084437,5620.07694243012,9.94140072474506,27.4985518569908,53.418,63.06,58.132,55.148,73.812,63.886,75.3272038939968,73.96,64.3,383322.0,3.944,,3.84,,,,3.472,,3.172
1994,GNQ,65.4637246524927,31.79,6.88703849526139,94.1684677288745,56.928,87.2819877025148,5.83153227112548,17.605173655905,5138.03002955993,9.68496769257404,24.8513076549332,33.456,41.554,37.494,54.888,72.262,63.362,74.8906448426697,70.87,61.677,193999.0,14.405,,15.212,,,,7.16,,7.699
1994,GRC,19.3842680704492,27.061,7.03209765034365,46.734500455451,45.375,39.7023772035869,53.2654995445489,12.2879106035866,72894.4212872171,24.0564431602722,56.5592887692786,33.568,42.205,38.008,43.933,76.296,60.071,54.5177463844313,65.619,50.309,4350080.0,20.827,29.651,28.802,,,,6.574,9.808,9.808
1994,GRD,,,,,,,,,,,,,,,,,,,,,,,44.46,,,,,,26.93,
1994,GTM,34.1300107262527,53.472,3.2984413710619,48.748890592222,60.956,45.4504492211601,51.2510797444684,11.7061208459501,23897.1898072385,24.8677906292419,41.0021986445054,33.075,78.919,55.871,41.363,86.759,63.767,46.9247919317373,85.669,62.571,3460481.0,3.913,,4.293,,,,2.277,,2.581
1994,GUM,0.612007862290786,45.766,2.95133718506165,12.4292691643338,65.41,9.47793197927215,87.5707308356662,1.56948001667759,,12.7851569480017,86.6028351897075,47.7,62.038,55.207,63.249,83.497,74.021,74.0857440579566,80.612,70.79,72681.0,17.164,,17.101,,,,8.053,7.6,7.6
1994,GUY,32.1123393377045,37.653,5.20036925698866,39.629243891085,52.73,34.4292691394261,60.370756108915,11.0256349563283,20142.5962183009,22.1692270062569,45.7184336560387,34.074,69.205,51.321,40.634,84.246,62.14,47.6060527836167,81.351,59.663,286813.0,24.186,,26.633,,,,10.04,,11.622
1994,HKG,0.650158504533714,50.198,5.57992246519055,10.8535169899431,60.648,5.27359452475258,89.1464830100569,0.762327292110513,77379.0934801401,29.3051469129678,70.0446606741588,51.61,53.31,52.459,53.505,84.441,69.044,60.8980185420833,77.014,61.823,3002840.0,5.026,4.34,4.31,,,,2.023,1.9,1.9
1994,HND,37.2107794675832,55.739,10.4659287071708,52.3891652110663,63.749,41.9232365038955,47.6108347889337,10.7061667938716,12361.0027557715,24.0640190961106,38.7252014363062,38.101,79.544,58.885,45.846,88.37,67.172,50.9678972160778,87.251,65.813,2015435.0,5.034,,5.342,,,,3.101,,3.136
1994,HPC,70.8597418755226,53.1401015565833,1.86731791750871,84.0206889243807,68.0539579376907,82.1533710068707,15.9793097415549,30.9862347607829,5188.99389251064,8.37722939296972,20.7630287315084,53.5346661337429,61.78996576359,57.6645858939079,65.0799778079699,80.4804313678509,72.6427632819975,82.4982423429106,80.0239780192701,71.7585745871537,158077593.0,8.84078444326094,,8.99663344895185,,,,5.24003339345348,,5.16247929005649
1994,HRV,21.2149036033002,29.077,4.93480594376158,28.76015532918,49.823,23.8253493854184,71.23984467082,8.91443214345849,40105.0308193907,29.5828422293315,49.2022015490823,39.484,48.159,43.866,55.186,74.213,64.601,68.5144922103432,66.691,55.637,2111599.0,34.893,,33.714,,,,10.239,,10.45
1994,HTI,54.508074756924,33.589,0.647600996380116,75.7972711288225,60.203,75.1496701324424,24.2027288711775,26.1588947507264,8344.21590700541,10.4157202885924,35.076243353594,36.53,45.425,40.993,58.479,74.484,66.422,76.8247461603808,74.161,65.417,2829754.0,15.577,,18.064,,,,6.976,,7.97
1994,HUN,8.73389159548012,22.512,5.81444985067318,16.3968231575615,45.503,10.5823733068883,83.6031768424385,1.09768840043631,50279.7822548392,32.9867424691848,58.2793398588794,25.878,31.539,28.776,56.799,66.197,61.405,79.1816311586876,57.358,51.039,4302867.0,25.393,20.909,21.769,,,,12.121,10.847,10.847
1994,IBD,47.3909554575958,50.0154178229927,2.92014141882729,61.7300559537063,62.4673692541329,58.8099146655125,38.2699437895329,20.4307427444884,14246.8794908844,21.2369066215359,31.3721375318276,47.4618346829184,66.0188665743951,56.9565757059842,55.4689543793806,84.3590009422655,70.0914246094305,66.2554788804818,81.0739090910927,66.2002988329959,1640987715.0,13.6683140868691,,13.7924246777975,,,,5.79849468328212,4.08301108809816,5.63926109940513
1994,IBT,49.9993027404891,50.1606606023777,3.15133134910901,64.6560539641611,62.5624403704719,61.5047225649033,35.3439460899991,21.8683486959172,12984.9889171753,19.4808518953577,30.5198453100002,46.8099275275453,65.8461094760423,56.513027523031,54.8643448173203,83.9347018801589,69.5395223729739,66.5392811369534,81.0448658961582,66.1315057227715,1998955608.0,12.4693165491087,,12.603320717104,,,,5.48118929322047,4.10781911603698,5.39726837516553
1994,IDA,61.7876570808688,50.6935378700346,4.1961879278179,77.8800220962828,62.9957460312067,73.6838333012754,22.1199793630767,28.3655695485339,7161.86630341909,11.5444104985191,26.6679338799755,44.4616551871566,65.2008805953111,54.8857057049893,52.2139792790028,82.020235574662,67.0848299772776,67.8402805458882,80.9119033491693,65.8179673398465,357967894.0,7.9911917909106,,8.24064966235483,,,,4.02562603952553,,4.2879312080958
1994,IDB,48.8400512610499,50.7462949728816,9.01624250875385,76.4018422716915,63.5757395853146,67.3855988813428,23.5981594914938,21.1635822874185,9940.25934942564,15.5962110729208,35.563738547634,41.7452482255399,67.3012865808872,54.6480194638537,49.919407207949,83.9837392328294,67.100140172128,64.8828641809251,82.7824780042591,65.9628622334526,117690563.0,6.36406566518163,,6.47176964918587,,,,3.14883318076506,,3.61891403883492
1994,IDN,44.7286264440851,46.042,1.28274228874845,66.1307672758958,63.882,64.8480237853429,33.8692327241043,17.8182544421273,14013.3389678388,17.9143002437572,37.3570733121577,43.494,62.247,52.972,52.628,85.034,68.717,60.8047135622915,83.334,66.798,87006941.0,12.163,13.61,13.083,,,,3.881,4.366,4.366
1994,IDX,68.1958115794182,50.6679685849784,1.81059982172973,78.6116171745111,62.7125872936438,76.8010164927215,21.3883841344759,31.9300468509837,5727.17562487712,9.53905410758435,22.2651360583107,45.7693507330972,64.1761034258623,55.0009028429205,53.3153492907082,81.0466796943292,67.0773609249343,69.2888566617619,79.9820757826727,65.7472281827262,240277330.0,8.7850581752722,,9.09795597460598,,,,4.47672322811643,,4.61562341403004
1994,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,
1994,IND,62.6174035094297,36.881,0.933098722159151,85.0295165755368,53.624,84.0964181710925,14.9704834244632,18.6739526076003,7210.8063953754,14.9578371058917,22.4247590669639,25.774,65.329,46.32,32.288,86.015,60.092,36.6582381145488,83.842,58.063,340802039.0,20.844,6.23,20.378,,,,7.624,2.147,7.645
1994,IRL,12.5795969207695,63.245,3.99103797632817,22.6404076266172,52.511,18.6493696502891,77.3595923733828,1.53516669279296,83999.5442039009,27.837279815393,59.5830526522421,71.855,88.695,80.471,54.316,87.462,70.976,58.275641025641,78.0,61.448,1657325.0,22.967,23.014,21.406,,,,14.463,14.544,14.544
1994,IRN,24.3906298813588,26.568,3.54918743118432,46.6688901417808,40.501,43.1197027105964,53.3311098582192,5.99691434569384,42058.6910346965,30.9546645523174,44.6547055663238,11.312,54.958,33.774,10.737,79.748,46.374,13.0177514792899,78.416,45.226,15813180.0,19.183,,21.335,,,,9.425,,10.448
1994,IRQ,18.3919784436285,30.852,1.73620996522988,38.1570138106985,39.014,36.4208038454686,61.8429861893015,3.94249613818413,27951.5388750321,25.9006617894213,55.7073597669502,4.911,67.296,36.412,9.279,80.341,43.743,11.1372340828941,79.113,42.519,4746781.0,15.054,,15.269,,,,8.377,,8.243
1994,ISL,9.06080696008484,51.784,5.44658380164335,18.4462447427842,69.201,12.9989395393128,81.5544766590439,1.74290681652587,74645.7723226865,25.8651411422677,65.0740518976475,59.058,57.924,58.482,79.001,86.737,82.918,86.5170975600423,78.403,73.094,146399.0,12.877,11.536,11.453,,,,5.137,5.326,5.326
1994,ISR,3.34908831438411,51.542,4.16253872403327,11.902824299036,55.587,7.74028557500275,88.097175700964,0.634425469012911,72293.3717079984,28.7280727618688,67.9227897815729,54.403,69.021,61.835,58.419,80.876,69.522,69.1599367019535,73.304,61.718,2338311.0,14.517,16.664,16.646,,,,8.183,9.934,9.934
1994,ITA,6.89787768497027,26.682,7.77904457035199,28.5083581478171,42.005,20.729313577465,71.4916467159401,4.54512270456805,123263.841589078,33.7577577534734,59.3443645615564,34.074,43.959,39.113,42.22,73.701,57.903,52.8932355338223,62.577,47.242,22891358.0,28.614,31.789,31.782,,,,8.658,11.086,11.086
1994,JAM,23.943332754538,43.052,2.10150416828062,41.2020561864001,65.391,39.1005520181195,58.7979438135999,2.41720205237017,23536.0897484678,19.0141906628224,57.0424765826396,45.518,55.834,50.677,67.678,80.697,74.095,79.7910704431411,77.921,69.816,1119074.0,11.284,27.3,15.046,,,,4.624,15.34,6.338
1994,JOR,4.68066837639669,19.924,5.37582050094336,15.1250098855535,32.82,9.74918938461017,84.8749901144465,0.900997593573825,39578.5497032772,21.1954176222702,74.1238010235785,11.126,49.761,31.678,12.08,65.026,40.773,18.2039103059759,63.371,39.494,1065125.0,32.738,,37.104,,,,14.916,,16.899
1994,JPN,5.80725561348725,45.012,3.31739929880281,18.8594443984051,61.771,15.5420450996023,81.140554063531,6.30714330406029,70482.263549514,34.1896304223136,60.0031139641992,47.247,47.954,47.608,58.38,84.271,71.467,64.489601564913,77.704,63.609,66893534.0,5.601,5.451,5.452,,,,2.835,2.89,2.89
1994,KAZ,36.514684854006,47.487,0.790227913160254,41.3885316803281,65.519,40.5983037671678,58.6114553721204,1.29902784604015,25013.5051779793,17.3769218698129,46.1083803286296,51.649,57.734,54.684,71.983,81.306,76.505,83.6114368178948,77.609,70.862,8353302.0,12.436,,13.162,,,,6.431,7.54,7.54
1994,KEN,47.739553565476,47.982,7.77610467198847,66.641659603918,70.675,58.8655549319295,33.358340396082,42.1558412204935,10439.099563861,13.4813064745613,38.7791399599627,52.664,50.171,51.417,71.089,76.199,73.606,92.758529489553,75.62,72.832,9784482.0,6.744,,6.68,,,,2.786,,2.962
1994,KGZ,41.9837175560213,56.848,1.49832623683038,39.1457643834577,73.379,37.6473907312401,60.8542356165423,12.3931968402386,7003.34310779462,19.3387450095305,38.6775374344482,48.733,68.312,58.285,70.377,86.934,78.278,77.9565176158187,84.356,74.41,2076947.0,2.032,,2.465,,,,1.32,,1.384
1994,KHM,78.7051241558754,70.619,0.175317220392346,85.6946512455694,79.941,85.5193340251771,14.3053487544306,43.1570134408198,3822.22648669885,4.26035384299157,17.034522001133,77.502,65.554,71.624,82.518,83.711,83.074,96.6112205442475,82.242,80.744,4029431.0,1.341,,1.404,,,,0.765,,0.995
1994,KOR,12.5560521730996,33.971,6.53302328028717,38.3890152356676,59.617,31.8559919553804,61.6109847643324,10.0010279885723,40149.1054918051,33.6272503692964,53.816697457604,41.822,31.774,36.576,50.797,76.053,63.776,64.6094919551701,74.147,61.13,20818283.0,8.593,7.242,7.123,,,,2.828,2.476,2.476
1994,KWT,2.16080589162727,32.406,0.510372282095175,4.1984327432786,65.389,3.68806046118343,95.8015672567214,0.0358639982012825,141062.120699862,23.3198751381109,74.5194569087165,20.799,44.948,33.373,43.518,82.883,67.226,51.9141574026356,81.498,65.85,730068.0,2.395,,2.897,,,,0.414,0.7,0.7
1994,LAC,21.4743177099532,49.4631444558217,4.42324248561777,41.9808045967643,59.050633884597,37.5575639550544,58.0191960178724,9.24145022685244,35144.318316222,22.7597882133974,55.7658940766497,41.916981156119,70.014417926035,55.9712131466047,48.1420591290837,84.7921617795834,66.2537786549595,55.8213632443212,81.7747588539509,63.1461664265731,173982748.0,9.96890293608331,,11.7100502857888,,,,5.44797428221419,,6.48600751918805
1994,LAO,85.8179844955575,60.198,0.393122697522079,88.1392659232963,60.921,87.7460823237297,11.8607340767037,40.7544301669751,6642.11305966376,3.37464319014654,10.807372314296,67.405,60.027,63.653,63.129,67.215,65.183,91.242493238184,65.441,62.57,1686432.0,5.58,,5.428,,,,2.637,,2.636
1994,LBN,6.89908722858265,26.382,3.90612618944264,38.3560861763313,40.364,34.4499599868887,61.6439138236687,4.22790444494974,39417.2301193499,25.123016939376,67.9777973988032,19.309,46.221,33.049,20.007,72.583,45.742,26.4315065591595,70.817,44.041,1108466.0,20.608,,20.173,,,,7.81,,8.35
1994,LBR,54.5794992744697,57.447,1.84670486477956,80.3833912734701,75.469,78.5366864086906,19.6166087265299,21.7937477258679,1328.07947356994,11.5416314130525,33.8789789092057,56.012,62.784,59.367,72.943,83.698,78.236,86.2925837234209,83.101,77.327,934898.0,2.596,,3.235,,,,2.39,,2.402
1994,LBY,13.3072270674977,9.966,2.05833456262653,11.266087526279,36.624,9.20766246353977,88.7340029738337,0.886448603628512,80470.746761326,29.1709918178848,57.5218716147302,11.986,24.137,18.369,29.435,62.013,47.633,46.6890699823574,59.515,45.411,1370063.0,39.442,,45.747,,,,16.743,,19.349
1994,LCA,27.419855543368,44.64,11.8566195492456,37.7987955048739,52.589,25.9421759556283,62.2012044951261,1.85434301206565,54409.0328978662,21.5319025642087,51.0461723131687,55.903,66.415,61.224,54.48,81.067,67.617,64.2523906487615,77.594,63.361,58216.0,20.412,,27.087,,,,12.909,17.0,17.0
1994,LCN,20.7315008705063,48.527507945516,4.46494612354117,40.9358595295284,58.5357895180007,36.4709150608201,59.0641404704777,8.52736823293594,35733.7819685841,22.8856871989184,56.3828124849144,41.2403894864558,69.0080985122247,55.1443532267015,47.915360375019,84.3725241096302,65.9422678023227,55.79128089873,81.2490788912782,62.7352088861001,193336101.0,10.4254812422542,,12.1367701121547,,,,5.68945514092233,,6.69412257969285
1994,LDC,70.448487429759,51.4208421307264,1.60025482110456,81.0894303162965,63.5696675383208,79.4891759818224,18.9105706569753,34.2157111730739,4779.03405735987,8.30022350215403,21.2512905279817,47.0846297086411,64.3874862660783,55.7631871070774,54.8143006427149,81.1396516250662,67.8693754510304,71.1931513112956,80.1823464927739,66.6326149377061,215395125.0,8.93606591447189,,9.0289406467971,,,,4.48029052893018,,4.59677653243802
1994,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,
1994,LKA,42.5685879426171,33.111,2.34051576196283,40.9466311496561,49.608,38.6061153876933,59.0533688503439,10.0137572681516,15298.4827255323,21.7031428095606,35.7282692478223,40.393,59.306,49.943,41.048,79.785,60.409,49.6287663519583,76.367,57.04,6911166.0,27.087,34.86,33.702,,,,9.299,13.03,13.03
1994,LMY,52.0660962386879,50.8090377052908,3.21318628746042,67.8390373124608,63.1961595881328,64.6258510837531,32.1609629116766,23.2079381905965,11367.0083117185,18.7737132647445,29.1601905542349,47.1907867597481,66.4812494074623,57.0240071193495,54.5931755269151,84.4312429548896,69.6818495786505,66.2351041656367,81.7753994618385,66.617627714782,1895054886.0,12.1491856210557,,12.2399566608557,,,,5.26563196185172,3.6612499320068,5.13634871201913
1994,LSO,50.119436497302,53.817,4.89378191431572,40.6095679571216,62.094,35.715786042806,59.3905769021837,2.05193206098577,4679.07170762306,19.6901459457502,30.1905624162532,62.363,75.606,68.879,68.455,81.579,74.804,82.8538237184241,80.916,73.664,818948.0,16.011,,21.867,,,,13.926,,15.706
1994,LTE,46.7732856430005,62.003104891004,3.1696676619554,58.3586755033582,69.4921325960181,55.1890079496688,41.6413244991429,23.6486778646455,12979.7460497965,22.9576408033784,30.2690736546101,64.7554211369423,69.8287707789492,67.3442372673486,70.3196950324668,85.1930511971735,77.8244396140362,80.1584737516378,81.1577095434374,72.6049322016975,1004378952.0,8.79293590227044,,8.81333121895717,,,,4.37160726003818,4.05348685038606,4.28799095699891
1994,LTU,22.7214149252857,35.507,1.22418506044481,17.6567529569449,55.101,16.4326315997347,82.3432470430551,4.45037167652262,27209.4956216036,28.6825725149846,48.5960125597297,40.612,53.172,47.007,68.379,80.354,74.162,77.8693267932431,72.578,63.923,1822222.0,26.626,,24.465,,,,13.973,17.33,13.8
1994,LUX,3.15477948489214,42.82,3.69725207495766,10.8319721289638,50.415,7.13532280132845,89.1674251237139,0.814311632420573,222976.309976199,26.9753536619914,69.8692641057942,45.036,47.888,46.492,46.926,77.266,62.341,56.1033490552045,67.422,52.232,172028.0,8.482,7.898,7.9,,,,2.997,3.48,3.479
1994,LVA,21.7890995260664,32.762,2.90438903770863,14.3862559241706,48.721,11.481866886462,85.6137440758294,4.99660004121162,27681.8664204072,27.5598598804863,50.6510405934473,41.378,57.775,49.758,63.982,77.605,70.497,73.7994945240101,70.033,59.928,1193623.0,34.759,,34.157,,,,19.863,,18.7
1994,MAC,0.39324661449898,45.235,3.42272306232277,10.7244943769144,60.301,7.30177131459161,89.2755056230856,1.30532871893664,133145.635253144,28.4365037420939,71.1702496434072,47.234,46.918,47.086,54.939,79.637,66.82,66.1711915334911,75.214,61.834,183534.0,5.017,,3.933,,,,2.396,,2.48
1994,MAR,48.9731911295736,35.561,2.37835536843587,49.3836241847692,44.195,47.0052688163333,50.6163758152308,17.2695699391166,17459.6061137021,19.2001750778814,31.826633792545,23.278,66.103,44.616,25.028,81.161,52.798,30.5119229651346,79.133,51.311,8313186.0,21.65,31.862,20.294,,,,14.067,17.931,13.869
1994,MDA,43.8080598332748,31.905,0.538121226815238,30.15243652693,56.189,29.6143153001147,69.84756347307,0.741483549862803,15823.2017931841,15.5483388228516,40.6436013438736,32.869,38.795,35.774,62.813,68.323,65.388,88.1023293726683,63.794,59.649,1291832.0,11.887,,10.815,,,,7.0,,5.8
1994,MDG,79.0670769738712,67.253,1.87878297717683,83.9505913975274,80.83,82.0718084203505,16.0494086024726,44.068368336585,3833.79196584726,8.71508411497388,12.2178389111549,73.26,73.94,73.602,85.418,89.113,87.258,94.7946011381507,88.389,86.084,6399736.0,10.074,,8.626,,,,6.046,,6.103
1994,MDV,20.716421427835,37.242,3.82219080022977,37.0362187559837,50.549,33.2140279557539,62.9652541499124,13.963147894481,36290.7632056302,22.0597116050256,57.2253398730355,21.088,54.297,37.945,26.456,75.252,51.689,35.3499728703201,73.72,50.952,68435.0,1.416,,1.852,,,,0.61,,0.791
1994,MEA,27.6066354142708,27.2601190790165,6.9736611331225,38.8054836185827,42.1922248678146,31.8318153529862,61.1945235388862,9.51090092209697,50643.5182078824,24.8348707379132,47.5584938899443,17.1669790242373,54.8454669971138,36.5802135649805,19.1974827282284,78.5854604216638,49.823799279212,24.8759270654635,76.4926505870826,48.0083759360486,79486729.0,24.0761845810013,,25.9310876564162,,,,11.038971742169,,12.114884692201
1994,MEX,24.6064605756103,49.83,4.27698352426884,43.4857420262724,56.695,39.2087553710151,56.5142579737276,12.8999137256118,51486.0049617197,22.1256844536558,53.2678581017224,35.827,72.636,53.794,38.144,86.528,61.5,43.2739561394115,84.039,59.327,33421624.0,6.783,7.101,7.368,,,,4.172,4.436,4.436
1994,MIC,50.7368821573146,50.6568550454891,3.29606232733121,66.680447801426,62.9197136298588,63.3843854177945,33.3195524985917,22.3766133127989,11780.9912058934,19.4526225537637,29.8104953507634,46.7609373283504,66.8688698669201,57.0262417619035,53.9829907524094,84.6816514232523,69.5397226223441,65.1813360620563,81.8879939297007,66.3440846521747,1767590995.0,12.3998059476084,,12.5050999150499,,,,5.28335630702954,3.6517026638458,5.16192020270852
1994,MKD,26.7111615768959,20.506,2.68145306360268,21.977946764057,38.394,19.2964937004543,78.0220532359429,7.65369785697864,37246.9185590812,35.7574459944928,37.5313924286113,37.681,49.758,43.709,49.335,73.65,61.214,64.4370487029388,67.306,54.848,813999.0,45.732,,53.086,,,,25.661,30.0,30.0
